pitch_angle,pitch_target,pitch_speed,pitch_speed_target,pitch_output,pitch_angle_kp,pitch_angle_ki,pitch_angle_kd,pitch_speed_kp,pitch_speed_ki,pitch_speed_kd,pitch_ff_output,yaw_ff_output
0.85,0.00,0.00,-62.47,-1232.57,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.85,0.00,0.00,-62.47,-1232.92,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.85,0.00,0.00,-62.48,-1233.28,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.85,0.00,0.00,-62.47,-1233.50,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.85,0.00,0.00,-62.49,-1234.06,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.85,0.00,0.00,-62.50,-1234.43,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.85,0.00,0.00,-62.48,-1234.61,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.85,0.00,0.00,-62.48,-1234.87,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.85,0.00,0.00,-62.48,-1235.21,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.85,0.00,0.00,-62.48,-1235.49,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.85,0.00,0.00,-62.45,-1235.51,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.85,0.00,0.00,-62.43,-1235.55,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.85,0.00,0.00,-62.43,-1235.91,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.85,0.00,0.00,-62.43,-1236.22,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.84,0.00,0.00,-62.41,-1236.35,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.84,0.00,0.00,-62.42,-1236.72,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.84,0.00,0.00,-62.41,-1236.92,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.84,0.00,0.00,-62.42,-1237.35,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.84,0.00,0.00,-62.42,-1237.72,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.84,0.00,0.00,-62.41,-1237.87,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.84,0.00,0.00,-62.43,-1238.36,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.84,0.00,0.00,-62.43,-1238.68,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.84,0.00,0.00,-62.44,-1239.11,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.84,0.00,0.00,-62.44,-1239.44,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.84,0.00,0.00,-62.46,-1239.92,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.84,0.00,0.00,-62.45,-1240.22,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.84,0.00,0.00,-62.46,-1240.55,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.84,0.00,0.00,-62.47,-1241.03,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.84,0.00,0.00,-62.47,-1241.32,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.84,0.00,0.00,-62.47,-1241.60,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
